"ID","Block","dam","sire","Strain","ID.1","Sex","Day","Trt","D0","D1","D2","D3","D4","Notes"
"EC_F50","20","E","C","EC",50,"F","D2","FLU",33.55,33.1,33.2,NA,NA,NA
"EC_F53","20","E","C","EC",53,"F","D2","MOCK",31,31,30.3,NA,NA,NA
"EC_F54","20","E","C","EC",54,"F","D2","FLU",34.35,34.65,34.6,NA,NA,NA
"EC_F55","20","E","C","EC",55,"F","D2","FLU",30,30.6,29.6,NA,NA,NA
"EC_M11","18","E","C","EC",11,"M","D2","FLU",41,41.3,41.35,NA,NA,NA
"EC_M18","18","E","C","EC",18,"M","D2","MOCK",40.7,40.45,39.6,NA,NA,NA
"EC_M25","18","E","C","EC",25,"M","D2","FLU",41.85,41.25,41.2,NA,NA,NA
"EC_M26","18","E","C","EC",26,"M","D2","FLU",41.35,40.75,41.1,NA,NA,NA
"EC_M34","19","E","C","EC",34,"M","D4","FLU",36.2,36,35.8,34.65,34.1,NA
"EC_M35","19","E","C","EC",35,"M","D4","FLU",40,40.1,40.8,40.15,40.45,NA
"EC_M40","19","E","C","EC",40,"M","D4","FLU",39.95,39.6,38.85,37.55,36.8,NA
"EC_M41","19","E","C","EC",41,"M","D4","MOCK",42.2,41.4,40.55,40.3,41.15,NA
"ED_F137","75","E","D","ED",137,"F","D2","MOCK",35.65,35.7,36.5,NA,NA,NA
"ED_F138","75","E","D","ED",138,"F","D2","FLU",41.4,41.2,41.2,NA,NA,NA
"ED_F156","75","E","D","ED",156,"F","D2","FLU",34.15,34,34.05,NA,NA,NA
"ED_F157","75","E","D","ED",157,"F","D2","FLU",33.1,33.05,33.3,NA,NA,NA
"ED_F51","72","E","D","ED",51,"F","D4","FLU",41.9,38,39.1,38,38.2,NA
"ED_F52","72","E","D","ED",52,"F","D4","FLU",40,41.3,40.2,41.3,40.75,NA
"ED_F65","72","E","D","ED",65,"F","D4","FLU",41.7,41.05,40.2,41.05,41.8,NA
"ED_F66","72","E","D","ED",66,"F","D4","MOCK",43.3,42.65,42.8,42.65,43,NA
"ED_M24","14","E","D","ED",24,"M","D4","FLU",46.2,46.05,45.8,44.4,43.2,NA
"ED_M26","14","E","D","ED",26,"M","D4","MOCK",45.05,45.1,45.8,45.6,45.95,NA
"ED_M31","14","E","D","ED",31,"M","D4","FLU",42.75,42.95,42.45,41.4,39.7,NA
"ED_M32","14","E","D","ED",32,"M","D4","FLU",42.8,42.9,42.65,41.6,41.35,NA
"ED_M75","74","E","D","ED",75,"M","D2","FLU",55,55.1,54.5,NA,NA,NA
"ED_M76","74","E","D","ED",76,"M","D2","MOCK",44.4,44.5,44,NA,NA,NA
"ED_M77","74","E","D","ED",77,"M","D2","FLU",50.8,51.8,51.3,NA,NA,NA
"ED_M78","74","E","D","ED",78,"M","D2","FLU",55.5,55.2,54.35,NA,NA,NA
"EE_F226","2","E","E","EE",226,"F","D2","FLU",43.71,45.1,44.9,NA,NA,NA
"EE_F231","2","E","E","EE",231,"F","D2","FLU",38.58,40.2,40.8,NA,NA,NA
"EE_F233","2","E","E","EE",233,"F","D2","MOCK",43.11,44.45,44.85,NA,NA,NA
"EE_F234","2","E","E","EE",234,"F","D2","FLU",40.43,43,43.05,NA,NA,NA
"EE_F247","3","E","E","EE",247,"F","D4","FLU",44.52,45.1,43.9,44.55,44.6,NA
"EE_F252","3","E","E","EE",252,"F","D4","FLU",33.7,33.54,32.8,32.25,32.35,NA
"EE_F255","3","E","E","EE",255,"F","D4","FLU",35.75,36.08,36.25,36.45,35.85,NA
"EE_F261","3","E","E","EE",261,"F","D4","MOCK",35.8,34.76,36,35.8,35.8,NA
"EE_M243","3","E","E","EE",243,"M","D4","MOCK",48.63,48.53,50.3,51.4,51.45,NA
"EE_M245","3","E","E","EE",245,"M","D4","FLU",48.27,47.39,48.15,47.9,48,NA
"EE_M249","3","E","E","EE",249,"M","D4","FLU",45.6,44.84,44.75,46.65,45.85,NA
"EE_M257","3","E","E","EE",257,"M","D4","FLU",41.61,41.22,41.15,40.45,41.8,NA
"EE_M299","9","E","E","EE",299,"M","D4","FLU",47.7,48.25,48.6,49.7,49.95,NA
"EE_M300","9","E","E","EE",300,"M","D4","FLU",47.9,47.75,47.5,47.9,47.25,NA
"EE_M304","9","E","E","EE",304,"M","D4","MOCK",47.2,47.05,47.9,47.8,48.3,NA
"EE_M305","9","E","E","EE",305,"M","D4","FLU",44.9,45.15,45.1,44.3,44,NA
"EE_M528","64","E","E","EE",528,"M","D2","FLU",42.3,43,42.45,NA,NA,NA
"EE_M529","64","E","E","EE",529,"M","D2","FLU",42.2,42,42.15,NA,NA,NA
"EE_M530","64","E","E","EE",530,"M","D2","FLU",44.2,44.7,44.9,NA,NA,NA
"EE_M531","64","E","E","EE",531,"M","D2","MOCK",43.15,43.5,43.7,NA,NA,NA
"EH_F163","90","E","H","EH",163,"F","D2","FLU",24.3,24.25,23.65,NA,NA,NA
"EH_F165","90","E","H","EH",165,"F","D2","MOCK",25,25.1,24.55,NA,NA,NA
"EH_F166","90","E","H","EH",166,"F","D2","FLU",25,24.9,24.1,NA,NA,NA
"EH_F42","27","E","H","EH",42,"F","D4","MOCK",23.9,23.8,24.95,26.05,25.5,NA
"EH_F43","27","E","H","EH",43,"F","D4","FLU",24.15,24.4,24.2,22.65,21.6,NA
"EH_F44","27","E","H","EH",44,"F","D4","FLU",24.9,24.75,24.25,23.75,24.05,NA
"EH_F45","27","E","H","EH",45,"F","D4","FLU",23.9,23.8,23.75,24.55,24.3,NA
"EH_M1","14","E","H","EH",1,"M","D4","MOCK",28.4,28.4,28.4,28.8,28.55,NA
"EH_M2","14","E","H","EH",2,"M","D4","FLU",27.25,27.4,26.75,26.85,26.55,NA
"EH_M29","23","E","H","EH",29,"M","D2","MOCK",32.7,32.15,32.4,NA,NA,NA
"EH_M3","14","E","H","EH",3,"M","D4","FLU",27.6,27.4,27.6,27.75,26.6,NA
"EH_M30","23","E","H","EH",30,"M","D2","FLU",36.7,36.45,36.2,NA,NA,NA
"EH_M32","23","E","H","EH",32,"M","D2","FLU",34.5,34.15,33.9,NA,NA,NA
"EH_M4","14","E","H","EH",4,"M","D4","FLU",25.5,26,25.6,25.6,25.55,NA
"FA_F38","74","F","A","FA",38,"F","D2","MOCK",16.2,16.75,17.1,NA,NA,NA
"FA_F41","74","F","A","FA",41,"F","D2","FLU",18.55,18.45,17.7,NA,NA,NA
"FA_F42","74","F","A","FA",42,"F","D2","FLU",18.2,18.55,17.75,NA,NA,NA
"FA_F81","77","F","A","FA",81,"F","D4","MOCK",18,18.05,18.3,18.2,17.95,NA
"FA_F82","77","F","A","FA",82,"F","D4","FLU",17.25,16.75,17.1,17.7,17.4,NA
"FA_F91","77","F","A","FA",91,"F","D4","FLU",18.5,16.75,16.65,15.4,14.5,NA
"FA_F92","77","F","A","FA",92,"F","D4","FLU",16.9,16.6,16.55,16.45,15.8,NA
"FA_M32","74","F","A","FA",32,"M","D4","FLU",21.2,21.7,21.25,20.8,20.6,NA
"FA_M33","74","F","A","FA",33,"M","D4","FLU",20.05,20,19.05,17.85,16.4,NA
"FA_M34","74","F","A","FA",34,"M","D4","FLU",21.1,21.4,19.95,18.35,17.4,NA
"FA_M35","74","F","A","FA",35,"M","D4","MOCK",23.35,23.5,23.4,23.65,23.4,NA
"FA_M61","75","F","A","FA",61,"M","D2","FLU",24.45,24.45,23.9,NA,NA,NA
"FA_M62","75","F","A","FA",62,"M","D2","MOCK",26.05,25.75,25.8,NA,NA,NA
"FA_M63","75","F","A","FA",63,"M","D2","FLU",25.2,25.15,25,NA,NA,NA
"FA_M64","75","F","A","FA",64,"M","D2","FLU",23.95,23.65,23.3,NA,NA,NA
"FB_F101","23","F","B","FB",101,"F","D2","MOCK",18.6,18.75,18.5,NA,NA,NA
"FB_F103","23","F","B","FB",103,"F","D2","FLU",18.8,19.1,18.3,NA,NA,NA
"FB_F126","27","F","B","FB",126,"F","D4","FLU",19.55,18.25,18.95,19.5,19.2,NA
"FB_F127","27","F","B","FB",127,"F","D4","MOCK",17.35,17.9,17.5,18.05,18.1,NA
"FB_F133","27","F","B","FB",133,"F","D4","FLU",16.55,16.3,16.4,16.5,16.05,NA
"FB_F134","27","F","B","FB",134,"F","D4","FLU",15.65,15.9,15.4,13.6,12.55,NA
"FB_F91","23","F","B","FB",91,"F","D2","FLU",21.45,21.6,20.9,NA,NA,NA
"FB_F97","23","F","B","FB",97,"F","D2","FLU",19.2,19.3,19.35,NA,NA,NA
"FB_M150","29","F","B","FB",150,"M","D2","FLU",23.75,23.7,23.35,NA,NA,NA
"FB_M151","29","F","B","FB",151,"M","D2","FLU",28.9,28.9,28.25,NA,NA,NA
"FB_M155","29","F","B","FB",155,"M","D2","FLU",21.8,21.8,21.6,NA,NA,NA
"FB_M156","29","F","B","FB",156,"M","D2","MOCK",22.5,22.5,22.35,NA,NA,NA
"FB_M76","23","F","B","FB",76,"M","D4","MOCK",21.95,21.6,21.5,21.6,21.25,NA
"FB_M92","23","F","B","FB",92,"M","D4","FLU",23,22.8,23,22.15,21.6,NA
"FB_M99","23","F","B","FB",99,"M","D4","FLU",22.8,22.45,22.3,19.75,18.2,NA
"FC_F144","84","F","C","FC",144,"F","D4","MOCK",16.7,16.6,16.4,16.25,16.3,NA
"FC_F147","84","F","C","FC",147,"F","D4","FLU",16.55,16.7,16.6,15.1,13.95,NA
"FC_F148","84","F","C","FC",148,"F","D4","FLU",17.1,17.05,17.55,15.9,14.55,NA
"FC_F39","71","F","C","FC",39,"F","D2","FLU",16.05,15.7,15.5,NA,NA,NA
"FC_F40","71","F","C","FC",40,"F","D2","FLU",15.55,15.45,16.05,NA,NA,NA
"FC_F41","71","F","C","FC",41,"F","D2","FLU",15.5,15.4,15.65,NA,NA,NA
"FC_F46","71","F","C","FC",46,"F","D2","MOCK",15.95,15.7,15.65,NA,NA,NA
"FC_M101","77","F","C","FC",101,"M","D2","FLU",19.25,19,18.9,NA,NA,NA
"FC_M102","77","F","C","FC",102,"M","D2","FLU",19.05,19.65,19.7,NA,NA,NA
"FC_M151","84","F","C","FC",151,"M","D4","MOCK",21.7,20.95,20.6,20,20.95,NA
"FC_M152","84","F","C","FC",152,"M","D4","FLU",19.9,19.75,20.2,18.7,17,NA
"FC_M153","84","F","C","FC",153,"M","D4","FLU",18.95,19.1,19.3,18.6,17.35,NA
"FC_M154","84","F","C","FC",154,"M","D4","FLU",21,20.85,21.05,20.2,18.5,NA
"FC_M98","77","F","C","FC",98,"M","D2","MOCK",22.25,21.9,21.8,NA,NA,NA
"FC_M99","77","F","C","FC",99,"M","D2","FLU",20.3,19.85,20.45,NA,NA,NA
"FD_F150","84","F","D","FD",150,"F","D2","MOCK",19.35,19.4,19.75,NA,NA,NA
"FD_F151","84","F","D","FD",151,"F","D2","FLU",18.35,18.2,17.55,NA,NA,NA
"FD_F155","84","F","D","FD",155,"F","D2","FLU",17.25,17.25,17.45,NA,NA,NA
"FD_F156","84","F","D","FD",156,"F","D2","FLU",17.2,17.1,16.8,NA,NA,NA
"FD_F161","90","F","D","FD",161,"F","D2","FLU",17.85,17.35,18.2,NA,NA,NA
"FD_F162","90","F","D","FD",162,"F","D2","MOCK",20.05,20.2,19.65,NA,NA,NA
"FD_F166","90","F","D","FD",166,"F","D2","FLU",17.95,17.7,18.2,NA,NA,NA
"FD_F167","90","F","D","FD",167,"F","D2","FLU",19.4,19.25,19.95,NA,NA,NA
"FD_M40","72","F","D","FD",40,"M","D4","FLU",19.85,20.05,20.15,19.9,20.2,NA
"FD_M41","72","F","D","FD",41,"M","D4","FLU",20.8,20.9,20.65,20.75,20.2,NA
"FD_M42","72","F","D","FD",42,"M","D4","MOCK",18.75,18.85,18.65,18.7,18.8,NA
"FD_M45","72","F","D","FD",45,"M","D4","FLU",19.7,19.85,19.65,19.55,19.05,NA
"FD_M73","77","F","D","FD",73,"M","D2","FLU",22.75,22.7,23.3,NA,NA,NA
"FD_M75","77","F","D","FD",75,"M","D2","MOCK",22.25,22,22.45,NA,NA,NA
"FD_M76","77","F","D","FD",76,"M","D2","FLU",20.3,21.1,22.6,NA,NA,NA
"FE_F15","74","F","E","FE",15,"F","D2","MOCK",21.45,21.05,20.35,NA,NA,NA
"FE_F16","74","F","E","FE",16,"F","D2","FLU",20.8,20.35,19.8,NA,NA,NA
"FE_F17","74","F","E","FE",17,"F","D2","FLU",20.1,20.05,20.65,NA,NA,NA
"FE_F23","74","F","E","FE",23,"F","D2","FLU",23.5,23.35,23.5,NA,NA,NA
"FE_F91","82","F","E","FE",91,"F","D4","MOCK",18.2,18.25,18.65,19.25,19.35,NA
"FE_F92","82","F","E","FE",92,"F","D4","FLU",19.7,19.7,20,18.75,17.8,NA
"FE_F93","82","F","E","FE",93,"F","D4","FLU",19.6,19.25,19.45,20,19.75,NA
"FE_F96","82","F","E","FE",96,"F","D4","FLU",21.1,21.2,20.6,19.25,17.65,NA
"FE_M29","77","F","E","FE",29,"M","D2","FLU",32.05,32.5,31.9,NA,NA,NA
"FE_M30","77","F","E","FE",30,"M","D2","FLU",32.7,33,32.2,NA,NA,NA
"FE_M31","77","F","E","FE",31,"M","D2","FLU",33.85,34,33.35,NA,NA,NA
"FE_M36","77","F","E","FE",36,"M","D2","MOCK",28.15,29.65,29.9,NA,NA,NA
"FE_M37","77","F","E","FE",37,"M","D4","FLU",27.7,28.15,28.2,27.75,28,NA
"FE_M38","77","F","E","FE",38,"M","D4","MOCK",27.4,28,27.6,27.5,27.5,NA
"FE_M39","77","F","E","FE",39,"M","D4","FLU",25.6,26.55,26.4,26.85,24.1,NA
"FE_M40","77","F","E","FE",40,"M","D4","FLU",23.45,25,24.25,24.65,23.5,NA
"FF_F398","30","F","F","FF",398,"F","D2","FLU",10.85,10.8,11.5,NA,NA,NA
"FF_F401","30","F","F","FF",401,"F","D2","FLU",11.6,11.6,10.65,NA,NA,NA
"FF_F402","30","F","F","FF",402,"F","D2","MOCK",13.6,13.7,13.5,NA,NA,NA
"FF_F6054","72","F","F","FF",6054,"F","D4","MOCK",12.6,12.75,12.6,12.55,12.45,NA
"FF_F6055","72","F","F","FF",6055,"F","D4","FLU",12.35,12.3,12.3,12,11.55,NA
"FF_F6056","72","F","F","FF",6056,"F","D4","FLU",12.6,12.1,12,11.7,11.5,NA
"FF_F6057","72","F","F","FF",6057,"F","D4","FLU",10.5,10.4,10.25,9.3,8.85,NA
"FF_M290","9","F","F","FF",290,"M","D4","FLU",15.1,15.3,15.2,15.2,15.45,NA
"FF_M302","9","F","F","FF",302,"M","D4","MOCK",15.25,14.85,14.6,14.45,14.6,NA
"FF_M304","9","F","F","FF",304,"M","D4","FLU",14.85,15.45,15.2,15.4,15.4,NA
"FF_M395","30","F","F","FF",395,"M","D2","FLU",16.25,16.2,15.65,12.15,11.9,NA
"FF_M396","30","F","F","FF",396,"M","D2","MOCK",14,13.85,13.95,10.35,10.45,NA
"FF_M399","30","F","F","FF",399,"M","D2","FLU",15.65,15.5,15.2,10.9,10.8,NA
"FF_M400","30","F","F","FF",400,"M","D2","FLU",14.75,14.85,14.8,12.2,11.75,NA
"FG_F198","80","F","G","FG",198,"F","D2","FLU",14.25,14.1,13.55,NA,NA,NA
"FG_F199","80","F","G","FG",199,"F","D2","MOCK",15.6,15.2,14,NA,NA,NA
"FG_F200","80","F","G","FG",200,"F","D2","FLU",15.65,15.7,15.1,NA,NA,NA
"FG_F222","82","F","G","FG",222,"F","D4","FLU",15.9,15.1,14.45,14.6,14.05,NA
"FG_F224","82","F","G","FG",224,"F","D4","FLU",16.1,15.45,15.25,15,14.35,NA
"FG_F233","82","F","G","FG",233,"F","D4","MOCK",15.2,15.3,14.9,15.15,14.55,NA
"FG_F234","82","F","G","FG",234,"F","D4","FLU",16.05,15.45,15.1,14.75,14.55,NA
"FG_M100","75","F","G","FG",100,"M","D4","MOCK",20.05,20,19.85,20.05,20.4,NA
"FG_M101","75","F","G","FG",101,"M","D4","FLU",17.65,17.5,17,16.95,17.25,NA
"FG_M105","75","F","G","FG",105,"M","D4","FLU",16.2,15.95,14.95,15.4,15.6,NA
"FG_M391","90","F","G","FG",391,"M","D2","FLU",17.75,17.8,17.9,NA,NA,NA
"FG_M393","90","F","G","FG",393,"M","D2","FLU",18.55,18.35,18,NA,NA,NA
"FG_M86","74","F","G","FG",86,"M","D2","FLU",14.7,14.4,13.4,NA,NA,NA
"FG_M92","74","F","G","FG",92,"M","D2","MOCK",16.3,16.1,15.65,NA,NA,NA
"FH_F80","75","F","H","FH",80,"F","D2","FLU",13.8,13.6,13.5,NA,NA,NA
"FH_F81","75","F","H","FH",81,"F","D2","MOCK",12.45,12.35,12.95,NA,NA,NA
"FH_F82","75","F","H","FH",82,"F","D2","FLU",12.25,12.3,11.9,NA,NA,NA
"FH_F83","75","F","H","FH",83,"F","D2","FLU",12.85,12.6,12.55,NA,NA,NA
"FH_F84","75","F","H","FH",84,"F","D4","FLU",13.9,13.45,12.85,11.95,11.05,NA
"FH_F85","75","F","H","FH",85,"F","D4","FLU",15.4,15.05,14.2,13.15,12.4,NA
"FH_F86","75","F","H","FH",86,"F","D4","MOCK",13.6,13.55,14.15,14.3,14.25,NA
"FH_F87","75","F","H","FH",87,"F","D4","FLU",13.8,13.65,13.9,14.05,14.35,NA
"FH_M171","82","F","H","FH",171,"M","D4","FLU",18.45,18.5,18.3,16.7,15.85,NA
"FH_M172","82","F","H","FH",172,"M","D4","MOCK",16.3,16.65,16.5,16.65,16.75,NA
"FH_M181","82","F","H","FH",181,"M","D4","FLU",18.8,19.1,18.2,16.65,15.1,NA
"FH_M182","82","F","H","FH",182,"M","D4","FLU",17.1,17.4,16.35,14.75,13.65,NA
"FH_M43","75","F","H","FH",43,"M","D4","FLU",18.5,18.45,18,17.95,17.5,NA
"FH_M46","75","F","H","FH",46,"M","D4","FLU",18.15,18,18.7,17.85,15.8,NA
"FH_M47","75","F","H","FH",47,"M","D4","MOCK",18.55,18.35,18.4,19.05,19.4,NA
"FH_M55","74","F","H","FH",55,"M","D2","FLU",18.05,18.1,18.9,NA,NA,NA
"FH_M56","74","F","H","FH",56,"M","D2","FLU",16.4,16.05,15.95,NA,NA,NA
"FH_M72","74","F","H","FH",72,"M","D2","MOCK",17.8,17.5,17.65,NA,NA,NA
"FH_M73","74","F","H","FH",73,"M","D2","FLU",15.75,15.4,14.95,NA,NA,NA
"GA_F120","18","G","A","GA",120,"F","D4","FLU",17,16.5,16.7,16,16.3,NA
"GA_F121","18","G","A","GA",121,"F","D4","MOCK",16.4,16.65,16.85,17.1,17.75,NA
"GA_F126","18","G","A","GA",126,"F","D4","FLU",15.9,16.2,16,15.7,16.55,NA
"GA_F127","18","G","A","GA",127,"F","D4","FLU",16.6,16.1,15.85,15.35,15.7,NA
"GA_F148","23","G","A","GA",148,"F","D2","MOCK",15.5,15.7,15.4,NA,NA,NA
"GA_F155","23","G","A","GA",155,"F","D2","FLU",15.9,15.45,15.55,NA,NA,NA
"GA_F157","23","G","A","GA",157,"F","D2","FLU",18.15,17.75,16.5,NA,NA,NA
"GA_F162","23","G","A","GA",162,"F","D2","FLU",16.6,16.7,16.9,NA,NA,NA
"GA_M145","23","G","A","GA",145,"M","D4","FLU",28.15,28.5,29.3,29.5,28.8,NA
"GA_M150","23","G","A","GA",150,"M","D4","FLU",19.55,19.9,20.3,19.35,18.55,NA
"GA_M152","23","G","A","GA",152,"M","D4","FLU",23.65,23.65,24.1,23.65,23.25,NA
"GA_M159","23","G","A","GA",159,"M","D4","MOCK",23.2,22.7,23,23.25,23.1,NA
"GA_M86","15","G","A","GA",86,"M","D2","FLU",18.35,18.1,17.75,NA,NA,NA
"GA_M87","15","G","A","GA",87,"M","D2","FLU",23.8,23.9,24.42,NA,NA,NA
"GA_M91","15","G","A","GA",91,"M","D2","FLU",24.8,24.4,23.56,NA,NA,NA
"GA_M92","15","G","A","GA",92,"M","D2","MOCK",20.9,20.9,21.05,NA,NA,NA
"GB_F178","74","G","B","GB",178,"F","D2","FLU",17.6,17.75,17.25,NA,NA,NA
"GB_F179","74","G","B","GB",179,"F","D2","FLU",18.15,18.1,18.3,NA,NA,NA
"GB_F180","74","G","B","GB",180,"F","D2","MOCK",17.65,17.6,17.9,NA,NA,NA
"GB_F181","74","G","B","GB",181,"F","D2","FLU",16,15.9,16.25,NA,NA,NA
"GB_F86","32","G","B","GB",86,"F","D4","MOCK",13.85,14.5,14.9,14.5,14.9,NA
"GB_F88","32","G","B","GB",88,"F","D4","FLU",15.6,15.75,16.25,15.75,15.95,NA
"GB_F91","32","G","B","GB",91,"F","D4","FLU",17.1,16.75,16.9,16.45,16.25,NA
"GB_F92","32","G","B","GB",92,"F","D4","FLU",19.9,18.1,17.6,17.9,18.2,NA
"GB_M49","25","G","B","GB",49,"M","D4","FLU",19.2,19.55,20.3,20.5,19.7,NA
"GB_M50","25","G","B","GB",50,"M","D4","MOCK",16.5,16.8,17.1,17.6,19,NA
"GB_M51","25","G","B","GB",51,"M","D4","FLU",19.85,19.85,20.9,20.6,19.65,NA
"GB_M52","25","G","B","GB",52,"M","D4","FLU",19.1,18.9,19.15,18.85,18.2,NA
"GB_M82","32","G","B","GB",82,"M","D2","MOCK",22.25,22.1,22.5,NA,NA,NA
"GB_M83","32","G","B","GB",83,"M","D2","FLU",19.9,19.8,20.35,NA,NA,NA
"GB_M85","32","G","B","GB",85,"M","D2","FLU",21.3,21.45,22.05,NA,NA,NA
"GB_M89","32","G","B","GB",89,"M","D2","FLU",22.05,22.15,22.2,NA,NA,NA
"GC_F30","5","G","C","GC",30,"F","D4","FLU",14.75,14.4,13.75,13.9,14.35,NA
"GC_F32","5","G","C","GC",32,"F","D4","FLU",15.7,15,14.95,15.1,15.9,NA
"GC_F37","5","G","C","GC",37,"F","D4","FLU",15.95,16.2,16,16,16,NA
"GC_F44","5","G","C","GC",44,"F","D4","MOCK",15.33,15,14.5,15.05,14.8,NA
"GC_F48","6","G","C","GC",48,"F","D2","FLU",20.05,19.7,19.8,NA,NA,NA
"GC_F51","6","G","C","GC",51,"F","D2","FLU",16.9,16.45,16.7,NA,NA,NA
"GC_F54","6","G","C","GC",54,"F","D2","MOCK",16.15,15.75,15.85,NA,NA,NA
"GC_F70","6","G","C","GC",70,"F","D2","FLU",15.6,15.65,15.7,NA,NA,NA
"GC_M25","5","G","C","GC",25,"M","D2","FLU",19.7,19.8,19.5,NA,NA,NA
"GC_M26","5","G","C","GC",26,"M","D4","FLU",18.55,18.95,17.8,17.6,17.85,NA
"GC_M27","5","G","C","GC",27,"M","D2","MOCK",19.23,19.95,19.5,NA,NA,NA
"GC_M28","5","G","C","GC",28,"M","D4","FLU",18,18.35,18.35,18.4,18.25,NA
"GC_M34","5","G","C","GC",34,"M","D2","FLU",21.5,21.8,21.3,NA,NA,NA
"GC_M39","5","G","C","GC",39,"M","D4","FLU",18.95,19.4,18.9,19.25,18.95,NA
"GC_M40","5","G","C","GC",40,"M","D2","FLU",19.2,19.2,19.1,NA,NA,NA
"GC_M42","5","G","C","GC",42,"M","D4","MOCK",18.5,18.2,17.85,17.9,17.8,NA
"GD_F43","9","G","D","GD",43,"F","D4","FLU",18.3,18.05,18.65,18.3,18.9,NA
"GD_F44","9","G","D","GD",44,"F","D4","MOCK",14.8,14.9,15,15.1,15.2,NA
"GD_F51","9","G","D","GD",51,"F","D4","FLU",17.4,16.85,17.1,17.4,18,NA
"GD_F52","9","G","D","GD",52,"F","D4","FLU",16.5,16.5,17,17.15,17.25,NA
"GD_F78","21","G","D","GD",78,"F","D2","MOCK",16.6,16.55,16.85,NA,NA,NA
"GD_F79","21","G","D","GD",79,"F","D2","FLU",18.45,18.65,19.2,NA,NA,NA
"GD_F80","21","G","D","GD",80,"F","D2","FLU",18.25,18.6,19.15,NA,NA,NA
"GD_F81","21","G","D","GD",81,"F","D2","FLU",18.55,18.45,18.65,NA,NA,NA
"GD_M151","31","G","D","GD",151,"M","D4","MOCK",23.8,23.05,23.7,23.2,23.15,NA
"GD_M153","31","G","D","GD",153,"M","D2","FLU",22.4,22.92,22.25,NA,NA,NA
"GD_M158","31","G","D","GD",158,"M","D4","FLU",25.5,24.87,24.65,23.65,22.75,NA
"GD_M159","31","G","D","GD",159,"M","D2","FLU",26.65,25.46,25.7,NA,NA,NA
"GD_M165","31","G","D","GD",165,"M","D4","FLU",23.9,23.9,23.65,22.3,21.25,NA
"GD_M167","31","G","D","GD",167,"M","D2","FLU",24.95,24.9,24.05,NA,NA,NA
"GD_M171","31","G","D","GD",171,"M","D4","FLU",24.75,24.41,25.05,24.8,24.25,NA
"GD_M173","31","G","D","GD",173,"M","D2","MOCK",20.8,20.67,20.6,NA,NA,NA
"GE_F100","82","G","E","GE",100,"F","D2","MOCK",25.25,24.55,24.4,NA,NA,NA
"GE_F101","82","G","E","GE",101,"F","D2","FLU",25.05,24.85,24.1,NA,NA,NA
"GE_F102","82","G","E","GE",102,"F","D2","FLU",23.3,22.55,21.75,NA,NA,NA
"GE_F103","82","G","E","GE",103,"F","D2","FLU",22.85,22.1,22.2,NA,NA,NA
"GE_F145","92","G","E","GE",145,"F","D2","FLU",19.3,19.3,20,NA,NA,NA
"GE_F146","92","G","E","GE",146,"F","D2","FLU",20.5,20.3,19.65,NA,NA,NA
"GE_F147","92","G","E","GE",147,"F","D2","MOCK",20.8,20.8,20.75,NA,NA,NA
"GE_F148","92","G","E","GE",148,"F","D4","MOCK",20,19.85,19.9,18.85,19.1,NA
"GE_F149","92","G","E","GE",149,"F","D4","FLU",19.8,19.9,19.7,19,19.85,NA
"GE_F151","92","G","E","GE",151,"F","D4","FLU",20.1,20,20.3,20.25,21,NA
"GE_M27","77","G","E","GE",27,"M","D4","FLU",37.4,36.1,35.25,35.15,36.15,NA
"GE_M35","77","G","E","GE",35,"M","D4","MOCK",38.05,38,38.75,39.35,40.1,NA
"GE_M36","75","G","E","GE",36,"M","D2","FLU",29.6,29.8,30.35,NA,NA,NA
"GE_M37","75","G","E","GE",37,"M","D2","MOCK",29.8,29.75,30.9,NA,NA,NA
"GE_M38","75","G","E","GE",38,"M","D2","FLU",29.25,29.05,29.8,NA,NA,NA
"GE_M40","75","G","E","GE",40,"M","D2","FLU",32.8,32.5,33,NA,NA,NA
"GF_F172","80","G","F","GF",172,"F","D4","MOCK",18.2,18.05,18.45,18.7,18.65,NA
"GF_F173","80","G","F","GF",173,"F","D4","FLU",19.3,19.4,19.3,19.45,19.55,NA
"GF_F174","80","G","F","GF",174,"F","D4","FLU",17.8,17.35,17.4,17.5,17.7,NA
"GF_F178","80","G","F","GF",178,"F","D4","FLU",19.05,19.1,18.7,18.95,18.7,NA
"GF_F201","80","G","F","GF",201,"F","D2","FLU",18.85,18.5,18.3,NA,NA,NA
"GF_F202","80","G","F","GF",202,"F","D2","FLU",19.95,19.85,19.75,NA,NA,NA
"GF_F203","80","G","F","GF",203,"F","D2","FLU",18.8,18.4,17.7,NA,NA,NA
"GF_F204","80","G","F","GF",204,"F","D2","MOCK",19.15,19.1,18.95,NA,NA,NA
"GF_M115","77","G","F","GF",115,"M","D2","FLU",18.85,19.1,19.4,NA,NA,NA
"GF_M116","77","G","F","GF",116,"M","D2","FLU",18.95,19,19.4,NA,NA,NA
"GF_M132","77","G","F","GF",132,"M","D2","MOCK",19.15,19,19.2,NA,NA,NA
"GF_M133","77","G","F","GF",133,"M","D2","FLU",16.15,16.45,17.95,NA,NA,NA
"GF_M191","77","G","F","GF",191,"M","D4","FLU",16.9,16,15.7,14.95,14.8,NA
"GF_M192","77","G","F","GF",192,"M","D4","FLU",15.4,14.7,14.45,14.7,13.75,NA
"GF_M193","77","G","F","GF",193,"M","D4","MOCK",16.7,16.8,16.7,16.45,16.6,NA
